"","tweet","created","number"
"1","negativo",2018-02-19,2
"2","negativo",2018-02-20,1
"3","negativo",2018-02-21,1
"4","negativo",2018-02-22,1
"5","negativo",2018-02-23,2
"6","negativo",2018-02-24,2
"7","negativo",2018-02-26,3
"8","negativo",2018-02-27,3
"9","negativo",2018-04-28,1
"10","negativo",2018-05-01,1
"11","negativo",2018-05-02,1
"12","negativo",2018-05-08,1
"13","negativo",2018-05-09,1
"14","negativo",2018-05-11,1
"15","negativo",2018-05-14,3
"16","negativo",2018-05-15,1
"17","neutro",2018-02-21,1
"18","neutro",2018-02-23,5
"19","neutro",2018-02-26,2
"20","neutro",2018-02-27,2
"21","neutro",2018-05-10,1
"22","positivo",2018-02-19,1
"23","positivo",2018-02-20,1
"24","positivo",2018-02-21,1
"25","positivo",2018-02-22,1
"26","positivo",2018-02-23,1
"27","positivo",2018-02-24,1
